Topic,Name,Type,Url,External ID,Description
DATA ENGINEERING ,,,,,
Big Data Patterns,HP_CC_BCC_BDP |LR | 1,Web Resource,https://drive.google.com/file/d/1tHp-DxtcDYNZFpiVvTH4Hi9LKwq3ONdJ/view?usp=sharing,HP_CC_BCC_BDP |LR | 1,Hashmap Resource
Big Data Patterns,HP_CC_BCC_BDP |LR | 2,Web Resource,https://drive.google.com/file/d/1h8pQZYq6vNLIIECYkx4D-Bd9rQLTOgAZ/view?usp=sharing,HP_CC_BCC_BDP |LR | 2,Hashmap Resource
,HP_CC_BCC_BDP |LR | 3,Web Resource,https://drive.google.com/file/d/1Flueo5Q37AgAYU_yJxetdyHySbEGRp3B/view?usp=sharing,HP_CC_BCC_BDP |LR | 3,Hashmap Resource
Big Data Patterns,HP_CC_BCC_BDP |LR | 4,Web Resource,https://drive.google.com/file/d/10e7Tj34iv8IWPIU6x3sFnqoD3E7H5Zgr/view?usp=sharing,HP_CC_BCC_BDP |LR | 4,Hashmap Resource
Big Data Patterns,HP_CC_BCC_BDP |LR | 5,Web Resource,https://drive.google.com/file/d/1kd4eO7a65a-jHL6C9WLZ2txIYTEQXlM2/view?usp=sharing,HP_CC_BCC_BDP |LR | 5,Hashmap Resource
Big Data Patterns,HP_CC_BCC_BDP |LR | 6,Web Resource,https://drive.google.com/file/d/17G2fKVm4CxXfKSIb9USlUuRVJO7lMTHz/view?usp=sharing,HP_CC_BCC_BDP |LR | 6,Hashmap Resource
,,,,,
SQL ,,,,,
SQL,SQL |LR|Introduction_To_SQL_And_Objects in SQL_BASIC QUERYING,Article,https://www.tutorialspoint.com/sql/sql-syntax.htm,SQL |LR|Introduction_To_SQL_And_Objects in SQL_BASIC QUERYING,Basic querying
SQL,SQL |LR|Introduction_To_SQL_And_Objects in SQL_Data_types,Article,https://docs.snowflake.com/en/sql-reference/data-types.html,SQL |LR|Introduction_To_SQL_And_Objects in SQL_Data_types,Cover Different data types and it's usage
